"REF_DATE","GEO","DGUID","Selected characteristic","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676786","8.3.15.1","38500","E","","","0"
"2017","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676786","8.3.15.1","21500","E","","","0"
"2018","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676786","8.3.15.1","37500","E","","","0"
"2019","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676786","8.3.15.1","22900","E","","","0"
"2015","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676789","8.3.15.4","17.7","","","","1"
"2016","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676789","8.3.15.4","17.3","","","","1"
"2017","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676789","8.3.15.4","9.1","E","","","1"
"2018","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676789","8.3.15.4","16.5","E","","","1"
"2019","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676789","8.3.15.4","10.9","E","","","1"
"2015","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676793","8.3.16.1","29300","E","","","0"
"2016","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676793","8.3.16.1","21400","E","","","0"
"2017","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676793","8.3.16.1","14300","E","","","0"
"2018","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676793","8.3.16.1","17600","E","","","0"
"2019","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676793","8.3.16.1","16000","E","","","0"
"2015","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676796","8.3.16.4","13.9","E","","","1"
"2016","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676796","8.3.16.4","9.6","E","","","1"
"2017","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676796","8.3.16.4","6.1","E","","","1"
"2018","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676796","8.3.16.4","7.7","E","","","1"
"2019","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676796","8.3.16.4","7.6","E","","","1"
"2015","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676968","8.4.15.1","40000","","","","0"
"2016","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676968","8.4.15.1","36700","E","","","0"
"2017","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676968","8.4.15.1","24600","E","","","0"
"2018","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676968","8.4.15.1","39600","E","","","0"
"2019","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676968","8.4.15.1","29700","E","","","0"
"2015","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676971","8.4.15.4","20.9","","","","1"
"2016","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676971","8.4.15.4","16.2","E","","","1"
"2017","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676971","8.4.15.4","12.5","","","","1"
"2018","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676971","8.4.15.4","18.4","E","","","1"
"2019","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676971","8.4.15.4","13.1","E","","","1"
"2015","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676975","8.4.16.1","27100","E","","","0"
"2016","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676975","8.4.16.1","27600","E","","","0"
"2017","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676975","8.4.16.1","16300","E","","","0"
"2018","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676975","8.4.16.1","22900","E","","","0"
"2019","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676975","8.4.16.1","19100","E","","","0"
"2015","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676978","8.4.16.4","14.2","E","","","1"
"2016","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676978","8.4.16.4","12.2","E","","","1"
"2017","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676978","8.4.16.4","8.3","E","","","1"
"2018","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676978","8.4.16.4","10.7","E","","","1"
"2019","Manitoba","2016A000246","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676978","8.4.16.4","8.4","E","","","1"
"2015","Manitoba","2016A000246","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111677150","8.5.15.1","30000","E","","","0"
"2016","Manitoba","2016A000246","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111677150","8.5.15.1","18500","E","","","0"
"2017","Manitoba","2016A000246","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111677150","8.5.15.1","23000","E","","","0"
"2018","Manitoba","2016A000246","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111677150","8.5.15.1","18300","E","","","0"
"2019","Manitoba","2016A000246","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111677150","8.5.15.1","22500","E","","","0"
"2015","Manitoba","2016A000246","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111677153","8.5.15.4","15.3","","","","1"
"2016","Manitoba","2016A000246","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111677153","8.5.15.4","10.9","E","","","1"
"2017","Manitoba","2016A000246","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111677153","8.5.15.4","15.4","E","","","1"
"2018","Manitoba","2016A000246","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111677153","8.5.15.4","10.8","E","","","1"
